Latitude,Longitude,Site ID
44.98,-73.3,565
38.17,-122.26,448
40.38,-111.8,312
33.84,-117.91,570
45.2,-93.39,760
34.5,-117.19,372
44.25,-91.5,543
44.25,-91.5,541
43.47,-90.55,542
43.47,-90.55,534
45.43,-93.22,752
41.94,-71.29,376
30.27,-97.74,131
30.27,-97.74,133
33.93,-116.98,402
39.71,-84.06,220
40.36,-83.76,216
33.88,-118.12,396
44.84,-93.3,134
41.7,-88.07,135
41.7,-88.07,#N/A
41.18,-73.19,412
40.59,-74.6,139
40.59,-74.6,140
39.99,-104.82,#N/A
42.08,-71.02,380
40.68,-73.94,356
40.68,-73.94,451
36.1,-79.44,498
38.42,-121.53,#N/A
34.91,-120.45,#N/A
34.88,-120.42,#N/A
34.96,-120.4,#N/A
34,-117.06,426
42.31,-83.48,136
31.16,-117.35,#N/A
33.64,-105.88,648
33.83,-118.28,581
33.78,-116.47,409
39.63,-84.16,164
33.86,-118.06,#N/A
41.88,-87.63,#N/A
39.73,-121.84,353
39.33,-82.98,219
32.64,-117.08,453
39.1,-84.51,149
39.1,-84.51,151
39.1,-84.51,230
39.1,-84.51,157
39.1,-84.51,167
39.1,-84.51,214
39.1,-84.51,218
40.64,-74.91,#N/A
36.83,-119.7,455
36.83,-119.7,425
36.14,-120.36,429
39.96,-83,154
39.96,-83,156
39.96,-83,159
39.96,-83,163
39.96,-83,206
39.96,-83,211
39.96,-83,225
45.38,-91.04,567
33.88,-117.57,#N/A
33.66,-117.9,580
33.66,-117.9,#N/A
34.09,-117.89,387
32.78,-96.8,130
39.21,-84.39,148
42.17,-87.84,114
41.28,-84.36,204
35.77,-119.25,450
33.94,-118.13,569
44.78,-91.93,546
44.78,-91.93,539
37.72,-121.91,492
37.72,-121.91,493
37.72,-121.91,494
42.06,-72.51,401
39.74,-84.64,223
39.38,-74.62,441
39.88,-84.3,227
42.0451,-87.6877,525
42.05,-87.69,111
39.82,-84.02,155
36.3,-119.21,462
40.11,-104.94,#N/A
34.09,-117.44,414
34.09,-117.44,463
39.29,-84.5,222
32.76,-97.33,460
42.28,-71.42,420
37.55,-121.99,352
36.74,-119.79,447
36.74,-119.79,415
36.74,-119.79,421
36.74,-119.79,435
36.74,-119.79,436
36.74,-119.79,439
36.74,-119.79,496
33.87,-117.92,452
39.91,-83.16,162
33.77,-117.94,390
34.14,-118.26,123
42.08,-87.82,103
45.63,-93.08,757
44.97,-93.23,629
44.97,-93.23,630
44.97,-93.23,631
44.97,-93.23,632
44.97,-93.23,633
38.76,-121.16,389
32.93,-97.08,129
39.22,-121.06,432
35.61,-77.37,#N/A
39.88,-83.09,171
41.29,-72.67,371
39.64,-77.72,357
44.61,-93,758
33.75,-116.97,370
33.75,-116.97,381
34.43,-117.3,373
34.43,-117.3,382
34.43,-117.3,416
40.03,-83.16,209
39.2,-83.61,217
42.14,-71.01,383
40.35,-74.18,141
39.84,-84.12,215
32.65,-96.71,468
32.65,-96.71,315
38.06,-97.93,584
41.98,-88.01,117
41.98,-88.01,118
41.53,-88.08,663
41.53,-88.08,664
40.7,-99.08,621
36.15,-119.55,417
33.93,-117.95,386
33.66,-116.31,533
44.9,-91.27,566
45.43,-94.43,594
45.43,-94.43,595
45.43,-94.43,596
45.43,-94.43,597
45.43,-94.43,598
40.08,-74.21,806
39.71,-82.6,166
34.69,-118.15,#N/A
34.69,-118.15,354
29.73,-99.76,573
38.77,-75.14,440
43.29,-90.54,583
43.29,-90.54,538
39.4,-84.41,205
40.74,-84.11,#N/A
40.74,-84.11,161
40.74,-84.11,165
42.54,-71.51,228
29.57,-98.34,#N/A
41.76,-87.6,120
41.88,-88.01,113
39.2689,-84.2638,234
40.63,-91.33,#N/A
44.3682,-73.0608,604
39.3151,-84.2208,147
40.7584,-82.5154,202
40.7584,-82.5154,213
37.7974,-121.2161,428
42.3459,-71.5523,378
41.33,-88.71,100
44.6832,-92.8777,603
39.3601,-84.3099,212
39.4523,-74.7277,138
45.14,-90.34,536
33.6971,-117.1853,454
37.3022,-120.483,379
39.0236,-94.6939,459
45.21,-93.67,599
45.21,-93.67,600
45.21,-93.67,601
45.21,-93.67,602
39.5151,-84.3983,152
39.4496,-75.7163,437
39.1753,-84.2944,201
37.4323,-121.8996,355
41.51,-90.52,530
41.3326,-73.2073,400
39.0868,-84.3805,168
42.97,-90.86,#N/A
42.9672,-90.859,535
42.24,-72.65,#N/A
38.5025,-122.2654,126
41.75,-88.15,#N/A
